SampleID,Actinobacteria,Bacteroides,Bacteroidetes,Bifidobacterium,Clostridium,Cyanobacteria,Firmicutes,Fusobacteria,Lactobacillus,Other,Prevotella,Proteobacteria,Tenericutes,Verrucomicrobia,Age,Sex
000003299.1053769,0.8952,0.0002,0.0062,0.0001,0.0006,0.0003,0.061,0.0006,0.0028,0.0005,0.0001,0.0323,0.0001,0.0,59,1
000005088.1053710,0.2997,0.002,0.0183,0.0003,0.0009,0.0829,0.4442,0.0182,0.0006,0.0016,0.0126,0.1187,0.0,0.0,32,1
000005069.1053832,0.2241,0.0002,0.0368,0.0014,0.0002,0.0414,0.4874,0.0594,0.0008,0.0083,0.069,0.0707,0.0002,0.0001,60,0
000002027.1053924,0.0065,0.269,0.044,0.062,0.008,0.0007,0.5923,0.0001,0.0001,0.0,0.0002,0.0026,0.0145,0.0,34,0
000005235.1053867,0.3571,0.0002,0.0217,0.0,0.0,0.0535,0.2862,0.0,0.0,0.0007,0.0039,0.2767,0.0,0.0,53,1
000005291.1053887,0.152,0.0003,0.013,0.0001,0.0009,0.2851,0.4377,0.005,0.005,0.0037,0.0033,0.0936,0.0002,0.0001,67,1
000005570.1053761,0.2678,0.0001,0.0314,0.0003,0.001,0.1772,0.3684,0.0079,0.0001,0.0006,0.0044,0.1402,0.0,0.0006,24,1
000003339.1053754,0.1442,0.0222,0.0296,0.0002,0.0088,0.1393,0.3309,0.0098,0.0089,0.0012,0.0163,0.2876,0.0,0.001,72,0
000002088.1053900,0.6249,0.0001,0.0122,0.0001,0.0,0.0203,0.1673,0.0003,0.0007,0.0014,0.0012,0.171,0.0001,0.0004,50,1
000004237.1053855,0.281,0.0007,0.0109,0.0002,0.0,0.0775,0.3606,0.0072,0.0003,0.0027,0.0094,0.2491,0.0004,0.0,57,1
000005569.1053771,0.3658,0.0005,0.0196,0.0003,0.0005,0.1578,0.3191,0.004,0.0001,0.0003,0.0195,0.1114,0.0001,0.001,24,1
000004689.1053716,0.1047,0.0003,0.0987,0.0,0.0,0.0003,0.7413,0.0026,0.0001,0.0005,0.003,0.0485,0.0,0.0,41,0
000005574.1053806,0.3412,0.0002,0.0017,0.0,0.0,0.0379,0.5619,0.002,0.0003,0.0014,0.003,0.0504,0.0,0.0,31,1
000003105.1053865,0.3581,0.0017,0.0097,0.0014,0.0004,0.178,0.3412,0.0043,0.001,0.0056,0.001,0.0972,0.0001,0.0003,28,1
000006743.1053729,0.0059,0.0702,0.019,0.0033,0.0082,0.0004,0.8645,0.0,0.0,0.0005,0.0095,0.0048,0.0136,0.0001,64,0
000005084.1053897,0.3415,0.0001,0.0084,0.0002,0.0002,0.0222,0.4414,0.0128,0.001,0.0016,0.0082,0.162,0.0,0.0004,32,1
000005086.1053839,0.272,0.0015,0.0086,0.0008,0.0001,0.1074,0.5042,0.0127,0.0014,0.0014,0.0074,0.0825,0.0,0.0,32,1
000005066.1053797,0.274,0.0005,0.0038,0.0006,0.0,0.0042,0.526,0.008,0.0889,0.0026,0.0117,0.0795,0.0,0.0002,59,1
000001986.1053795,0.1494,0.0001,0.0029,0.0001,0.0,0.0125,0.6375,0.0014,0.0057,0.0007,0.0006,0.1891,0.0,0.0,63,0
000005166.1053826,0.1959,0.0029,0.0203,0.0017,0.0027,0.1078,0.3725,0.016,0.0055,0.0051,0.0034,0.2651,0.0011,0.0,59,1
000005650.1053881,0.138,0.0002,0.0532,0.0001,0.0001,0.0094,0.3972,0.1145,0.0002,0.0093,0.0226,0.2548,0.0004,0.0,63,1
000005081.1053770,0.3639,0.0015,0.0134,0.0,0.0004,0.0058,0.4465,0.0049,0.0027,0.0002,0.0039,0.1568,0.0,0.0,31,1
000005419.1053903,0.2035,0.0,0.022,0.0001,0.0011,0.1586,0.4875,0.0047,0.0041,0.0108,0.0037,0.1024,0.0,0.0015,52,0
000004846.1053763,0.1877,0.0013,0.0152,0.0006,0.0,0.1141,0.5177,0.0017,0.0005,0.0012,0.0197,0.1403,0.0,0.0,41,1
000004984.1053908,0.119,0.0015,0.0177,0.0006,0.0004,0.0503,0.2292,0.0058,0.0077,0.0036,0.0065,0.5573,0.0,0.0004,60,0
000003167.1053875,0.3828,0.0228,0.0059,0.0001,0.0001,0.0013,0.5346,0.0029,0.0005,0.0015,0.0026,0.0449,0.0,0.0,54,1
000005160.1053828,0.3384,0.0099,0.0175,0.0009,0.0012,0.0132,0.449,0.0082,0.0016,0.0013,0.0393,0.1186,0.0003,0.0006,28,1
000005236.1053902,0.3483,0.0003,0.0171,0.0005,0.0015,0.0462,0.4276,0.0025,0.001,0.0009,0.0087,0.1441,0.0,0.0013,53,1
000004238.1053808,0.194,0.0005,0.004,0.0002,0.0,0.0853,0.2009,0.001,0.0002,0.0,0.0011,0.5125,0.0,0.0003,57,1
000005222.1053872,0.1924,0.0003,0.1051,0.0002,0.0,0.0065,0.5065,0.0474,0.0005,0.0022,0.0123,0.1264,0.0001,0.0001,38,1
000004924.1053834,0.521,0.0001,0.0015,0.0011,0.0,0.0018,0.4168,0.0,0.0007,0.0,0.0,0.057,0.0,0.0,38,0
000005261.1053774,0.1718,0.0001,0.0099,0.0001,0.0028,0.1747,0.3303,0.0089,0.0021,0.001,0.0037,0.2946,0.0,0.0,26,1
000005652.1053862,0.2281,0.0003,0.0371,0.0,0.0002,0.0587,0.5149,0.0378,0.0002,0.0104,0.0263,0.0856,0.0004,0.0,63,1
000005651.1053932,0.1768,0.0003,0.0635,0.0002,0.0001,0.0183,0.4505,0.0888,0.0003,0.016,0.0351,0.1493,0.0007,0.0001,63,1
000005079.1053800,0.4311,0.0003,0.0277,0.0002,0.0,0.021,0.375,0.0062,0.0029,0.0004,0.0036,0.1312,0.0003,0.0001,31,1
000005161.1053863,0.3302,0.013,0.0065,0.0,0.0002,0.0193,0.5492,0.0016,0.0001,0.0004,0.0475,0.0312,0.0,0.0008,28,1
000005083.1053748,0.3462,0.0012,0.022,0.0001,0.0,0.0133,0.4165,0.0108,0.0051,0.0005,0.0044,0.1794,0.0001,0.0004,31,1
000005219.1053934,0.4447,0.0006,0.0191,0.0,0.0,0.0104,0.4421,0.0089,0.0012,0.0103,0.0019,0.0607,0.0,0.0001,38,1
000003535.1053768,0.2968,0.0001,0.0,0.0,0.0,0.0025,0.6937,0.0,0.0003,0.0,0.0,0.0066,0.0,0.0,44,0
000005578.1053814,0.3819,0.0002,0.0099,0.0011,0.0,0.028,0.4672,0.0027,0.0002,0.0036,0.0336,0.0713,0.0003,0.0,31,1
000005657.1053913,0.7584,0.0004,0.0079,0.0,0.0,0.0223,0.137,0.0023,0.0083,0.0004,0.0014,0.0616,0.0,0.0,33,0
000005167.1053923,0.5821,0.0007,0.001,0.0,0.0,0.001,0.1225,0.0002,0.0007,0.0001,0.0007,0.291,0.0,0.0,59,1
000003421.1053773,0.4364,0.0001,0.0073,0.0046,0.0,0.0008,0.3768,0.0002,0.0012,0.001,0.0019,0.1697,0.0,0.0,36,1
000003166.1053779,0.8098,0.0002,0.0002,0.0003,0.0,0.0002,0.1856,0.0,0.0003,0.0,0.0001,0.0033,0.0,0.0,54,1
000004879.1131805,0.0002,0.0003,0.0005,0.0,0.0,0.0,0.9807,0.0002,0.0,0.0,0.0001,0.018,0.0,0.0,62,1
000004932.1131876,0.1701,0.0012,0.0004,0.0001,0.0,0.0003,0.8196,0.0,0.0,0.0003,0.0005,0.0075,0.0,0.0,62,0
000003409.1131823,0.1641,0.0008,0.0008,0.0,0.0,0.0,0.7737,0.0003,0.0002,0.0,0.0002,0.0598,0.0,0.0001,47,1
000005785.1131858,0.3114,0.0008,0.0022,0.0,0.0,0.0002,0.6562,0.0,0.0003,0.0017,0.0004,0.0267,0.0,0.0001,45,1
000005971.1131880,0.0065,0.0039,0.0002,0.0192,0.0145,0.0014,0.9527,0.0,0.0006,0.0001,0.0003,0.0006,0.0,0.0,40,0
000003227.1131537,0.0274,0.0007,0.0021,0.0,0.0,0.0,0.9316,0.0004,0.0001,0.0001,0.0134,0.0242,0.0,0.0,45,0
000002841.1131628,0.2312,0.0005,0.0077,0.0,0.0,0.0,0.6862,0.0006,0.0001,0.034,0.0127,0.0241,0.0029,0.0,36,0
000005227.1130020,0.309,0.0105,0.0078,0.0006,0.0004,0.0164,0.5661,0.001,0.0005,0.0002,0.0372,0.0503,0.0,0.0,51,1
000006732.1130114,0.4613,0.001,0.0062,0.0,0.0001,0.0008,0.429,0.0014,0.0001,0.0,0.0071,0.0923,0.0005,0.0002,53,0
000005225.1130388,0.3735,0.0092,0.0074,0.0017,0.0006,0.0048,0.521,0.0009,0.0002,0.0007,0.0198,0.0601,0.0,0.0001,51,1
000005594.1130314,0.3826,0.0009,0.0062,0.0,0.0,0.0038,0.1571,0.002,0.0001,0.0009,0.0014,0.4448,0.0,0.0002,72,1
000002645.1130296,0.1278,0.0628,0.0109,0.0048,0.0034,0.0004,0.7884,0.0,0.0,0.0,0.0001,0.0012,0.0,0.0002,42,1
000009712.1130471,0.3808,0.0007,0.0146,0.0001,0.0014,0.0187,0.3465,0.0046,0.0019,0.0043,0.0421,0.1836,0.0,0.0007,70,0
000005786.1130067,0.3761,0.0014,0.0236,0.0004,0.0,0.0323,0.1043,0.0139,0.0049,0.0013,0.0109,0.4308,0.0,0.0001,45,1
000005458.1130270,0.3488,0.0003,0.0039,0.0,0.0001,0.0092,0.0948,0.0039,0.0009,0.0009,0.0034,0.5334,0.0003,0.0001,46,1
000003896.1130192,0.0002,0.4083,0.0566,0.0001,0.0021,0.0001,0.494,0.0002,0.0,0.0,0.0003,0.0381,0.0,0.0,41,0
000005224.1130562,0.3455,0.0162,0.0031,0.0028,0.0003,0.001,0.5051,0.0009,0.0001,0.0013,0.0073,0.1163,0.0001,0.0,51,1
000006851.1130477,0.4024,0.0011,0.0049,0.0,0.0,0.0227,0.3844,0.0025,0.0005,0.0069,0.0023,0.1712,0.0,0.0011,72,1
000005549.1130410,0.3239,0.0022,0.0293,0.0012,0.0,0.0969,0.269,0.0051,0.0042,0.0017,0.0029,0.2636,0.0,0.0,41,1
000003410.1130236,0.3746,0.0002,0.0162,0.0,0.0002,0.0731,0.23,0.0008,0.0026,0.0021,0.0006,0.2996,0.0,0.0,47,1
000006779.1130078,0.7698,0.0008,0.0065,0.0,0.0,0.0023,0.1823,0.0009,0.001,0.0046,0.0011,0.0301,0.0001,0.0005,31,1
000005234.1130060,0.1401,0.0004,0.007,0.0005,0.0,0.0519,0.2608,0.0008,0.0005,0.0014,0.0005,0.5356,0.0,0.0005,54,1
000005564.1130092,0.2986,0.0008,0.0123,0.0,0.0004,0.1198,0.4897,0.0011,0.0,0.0039,0.0011,0.0715,0.0,0.0008,51,1
000002874.1130082,0.1729,0.0004,0.0001,0.0,0.0,0.0,0.8179,0.0001,0.0,0.0001,0.0,0.0085,0.0,0.0,70,1
000006952.1130409,0.1833,0.241,0.035,0.0012,0.0111,0.0001,0.4815,0.0035,0.0008,0.0,0.0013,0.025,0.0001,0.0161,32,0
000009586.1130231,0.1231,0.347,0.0382,0.0058,0.0022,0.0,0.4658,0.0,0.0008,0.0,0.0001,0.0157,0.0013,0.0,55,0
000003360.1130073,0.1702,0.0007,0.0102,0.0,0.0,0.1811,0.4974,0.0099,0.0023,0.0014,0.0107,0.1161,0.0,0.0,34,1
000001897.1213046,0.0027,0.0543,0.0371,0.0,0.003,0.0003,0.9004,0.0001,0.0003,0.0001,0.0003,0.0014,0.0,0.0,66,1
000014510.1259666,0.1334,0.0066,0.0319,0.0015,0.0001,0.0033,0.587,0.0041,0.0007,0.0025,0.0061,0.2224,0.0004,0.0,35,0
000010877.1259623,0.3788,0.0016,0.0005,0.0,0.0,0.0022,0.6004,0.0001,0.0003,0.0002,0.0004,0.0153,0.0001,0.0001,48,1
000009071.1259706,0.1242,0.0021,0.0376,0.0,0.0,0.0985,0.2423,0.001,0.0002,0.0017,0.0005,0.4917,0.0001,0.0001,30,1
000012382.1259733,0.5695,0.0031,0.0024,0.0,0.0001,0.0057,0.3841,0.0002,0.0001,0.0001,0.0136,0.0193,0.0,0.0018,47,1
000003207.1259685,0.4735,0.0028,0.0016,0.0001,0.0,0.0046,0.1088,0.0012,0.0002,0.0009,0.0008,0.4053,0.0001,0.0001,55,0
000004056.1259739,0.6485,0.0021,0.002,0.0001,0.0001,0.0386,0.2213,0.0006,0.0025,0.0002,0.0013,0.0826,0.0,0.0001,51,1
000014495.1259766,0.1694,0.1915,0.0532,0.003,0.0029,0.0003,0.5233,0.003,0.0,0.0002,0.0196,0.0279,0.0002,0.0055,37,1
000009073.1259779,0.3726,0.0013,0.0006,0.0001,0.0,0.0001,0.5893,0.0,0.0,0.0,0.0016,0.0344,0.0,0.0,30,1
000003132.1259768,0.4946,0.0019,0.0007,0.0,0.0001,0.0001,0.4788,0.0001,0.0001,0.0004,0.0006,0.0226,0.0,0.0,50,1
000013219.1259665,0.0297,0.0011,0.0015,0.0,0.0,0.0076,0.9414,0.0003,0.0007,0.0,0.0007,0.0169,0.0,0.0001,93,1
000002722.1259697,0.1427,0.002,0.0072,0.0,0.0,0.6108,0.1014,0.0022,0.0,0.0009,0.0023,0.1303,0.0002,0.0,66,1
000014492.1259648,0.1536,0.0017,0.009,0.0002,0.0001,0.0464,0.494,0.0062,0.0016,0.0041,0.013,0.2698,0.0001,0.0002,37,1
000014971.1261718,0.0921,0.0013,0.3204,0.0,0.0001,0.0,0.328,0.0004,0.0001,0.0028,0.2062,0.0485,0.0001,0.0,62,0
000002788.fixed211,0.4396,0.001,0.015,0.0,0.0005,0.0366,0.3075,0.002,0.0081,0.0044,0.0059,0.1789,0.0,0.0005,32,0
000009701.fixed240,0.3663,0.0057,0.0094,0.0022,0.0,0.0158,0.2523,0.006,0.0,0.0005,0.002,0.3395,0.0,0.0003,58,1
000015164.fixed38,0.2754,0.0011,0.0151,0.0,0.0,0.0217,0.529,0.0321,0.0002,0.0011,0.0046,0.1194,0.0002,0.0001,60,1
000015165.fixed39,0.4112,0.0024,0.0122,0.0,0.0,0.0883,0.398,0.0123,0.0,0.001,0.0018,0.0726,0.0,0.0002,60,1
000015173.fixed72,0.1865,0.0545,0.0277,0.0003,0.0001,0.0153,0.4079,0.0436,0.0081,0.0067,0.0455,0.1991,0.0001,0.0046,62,0
000015174.fixed7,0.2133,0.0012,0.0033,0.0001,0.0,0.0024,0.1702,0.0023,0.0003,0.0005,0.003,0.6032,0.0,0.0002,62,0
000015178.fixed10,0.2335,0.0041,0.0316,0.0002,0.0013,0.0023,0.4051,0.0096,0.0862,0.0006,0.182,0.0429,0.0006,0.0,24,0
000015182.fixed141,0.5765,0.0064,0.01,0.0,0.0001,0.0,0.2555,0.0021,0.0006,0.0009,0.0327,0.1151,0.0001,0.0,54,1
000015211.fixed198,0.266,0.0008,0.004,0.0001,0.0001,0.0052,0.6581,0.0001,0.0006,0.0,0.0053,0.0595,0.0002,0.0,33,1
000015219.fixed92,0.1595,0.0003,0.0497,0.0001,0.0019,0.0561,0.34,0.0031,0.0003,0.0339,0.0031,0.3451,0.0001,0.0068,45,0
000015223.fixed145,0.1031,0.0391,0.1544,0.0,0.0066,0.0426,0.316,0.0408,0.019,0.0263,0.0232,0.2215,0.0068,0.0006,52,1
000015255.fixed226,0.3278,0.0011,0.0145,0.0,0.0004,0.0021,0.4347,0.0085,0.0,0.0008,0.0037,0.2064,0.0,0.0,33,1
000015280.fixed263,0.2559,0.0011,0.0049,0.0,0.0,0.0016,0.1376,0.0037,0.0018,0.0001,0.0015,0.5913,0.0004,0.0001,61,1
000015401.fixed105,0.6023,0.0057,0.0057,0.0007,0.0004,0.0005,0.2863,0.0015,0.0004,0.0009,0.0107,0.0848,0.0001,0.0,62,1
000015328.fixed193,0.1274,0.0011,0.0014,0.0,0.0,0.0003,0.8217,0.0017,0.0036,0.0001,0.0012,0.0415,0.0,0.0,34,0
000015463.fixed204,0.4498,0.0019,0.0097,0.0,0.0001,0.0704,0.2931,0.0034,0.0008,0.0,0.021,0.1498,0.0,0.0,68,1
000015293.fixed151,0.2844,0.0018,0.0175,0.0,0.0,0.0029,0.6251,0.0097,0.0002,0.0012,0.0026,0.0545,0.0,0.0001,29,1
000015449.fixed175,0.4271,0.0471,0.0078,0.0006,0.0015,0.082,0.3651,0.0017,0.0017,0.0001,0.0016,0.0615,0.002,0.0002,63,1
000015464.fixed212,0.3054,0.0016,0.0274,0.0001,0.0003,0.0321,0.3993,0.0148,0.0012,0.0098,0.0227,0.1832,0.0,0.0021,68,1
000015278.fixed15,0.2278,0.0077,0.0151,0.0021,0.0001,0.1149,0.4504,0.0074,0.0032,0.0011,0.0059,0.164,0.0,0.0003,61,1
000015292.fixed82,0.4172,0.0009,0.0058,0.0002,0.0,0.007,0.5135,0.0047,0.0002,0.0011,0.0066,0.0428,0.0,0.0,29,1
000015291.fixed84,0.0914,0.001,0.1003,0.0,0.0,0.001,0.3832,0.0652,0.0001,0.0057,0.0054,0.3466,0.0,0.0001,29,1
000015354.fixed91,0.6403,0.0006,0.0061,0.0,0.0002,0.0204,0.1914,0.0016,0.003,0.0007,0.0042,0.1312,0.0001,0.0002,35,1
000005802.fixed683,0.0064,0.6093,0.1017,0.0011,0.0001,0.0001,0.1647,0.0,0.0003,0.0,0.0009,0.1103,0.0,0.0051,18,1
000011939.fixed720,0.0029,0.4149,0.028,0.001,0.0069,0.0002,0.5014,0.0,0.0002,0.001,0.0003,0.0432,0.0,0.0,71,0
000016408.fixed732,0.0148,0.2886,0.0371,0.0045,0.0014,0.004,0.6062,0.0,0.0001,0.0,0.0017,0.0416,0.0,0.0,46,1
000018029.fixed642,0.0043,0.0524,0.1075,0.0045,0.052,0.0,0.4817,0.0,0.001,0.0019,0.245,0.0136,0.0335,0.0026,58,1
000013023.fixed721,0.0983,0.231,0.0339,0.0009,0.0172,0.0012,0.6002,0.0001,0.0,0.0,0.0,0.0169,0.0,0.0003,33,1
000007829.fixed1097,0.4845,0.0011,0.0095,0.0023,0.0001,0.0194,0.3247,0.0083,0.0015,0.0014,0.005,0.1417,0.0,0.0005,37,1
000015015.fixed885,0.4268,0.0006,0.0006,0.0,0.0,0.0014,0.5662,0.0004,0.0,0.0004,0.0005,0.0031,0.0,0.0,41,1
000015285.fixed944,0.7926,0.0008,0.0021,0.0002,0.0,0.0027,0.1116,0.0013,0.0,0.0,0.0009,0.0877,0.0001,0.0,60,1
000015303.fixed830,0.2285,0.0009,0.0055,0.0,0.0,0.0039,0.5922,0.0007,0.0268,0.0003,0.0015,0.1397,0.0,0.0,33,1
000001281.1076476,0.0049,0.0978,0.0146,0.0045,0.0049,0.0,0.633,0.0,0.0,0.0,0.0043,0.0008,0.0,0.2352,59,0
000003001.1076398,0.2759,0.1758,0.1089,0.0001,0.0008,0.0,0.3979,0.0001,0.0087,0.0006,0.0008,0.0017,0.0011,0.0276,44,0
000001546.1131928,0.096,0.2905,0.0458,0.0025,0.0022,0.0,0.5116,0.0013,0.0044,0.0003,0.0363,0.0091,0.0,0.0,26,0
000005565.1130308,0.1475,0.005,0.1818,0.0,0.0043,0.1063,0.2211,0.029,0.0002,0.0401,0.0024,0.2566,0.0027,0.003,51,1
000002146.1130172,0.0079,0.1062,0.0415,0.0035,0.048,0.0013,0.6479,0.0001,0.0021,0.0,0.0002,0.0026,0.1307,0.008,34,0
000006733.1131770,0.0181,0.0033,0.0016,0.0029,0.0009,0.0001,0.9671,0.0,0.0001,0.0,0.0017,0.0041,0.0,0.0001,53,0
000015448.fixed184,0.0875,0.0378,0.0068,0.0013,0.0011,0.0297,0.7986,0.0018,0.0002,0.0002,0.0049,0.0277,0.0017,0.0007,63,1
000004236.1053845,0.2131,0.0042,0.0343,0.0003,0.0005,0.117,0.3189,0.0102,0.0008,0.0014,0.0104,0.2882,0.0002,0.0005,57,1
000006893.1053917,0.0778,0.2694,0.0279,0.0088,0.0021,0.0008,0.5956,0.0001,0.0037,0.0,0.0018,0.0119,0.0001,0.0,40,0
000014440.1262033,0.0141,0.5136,0.0969,0.0,0.0024,0.0,0.3615,0.0,0.0002,0.0,0.002,0.0087,0.0006,0.0,36,0
000015279.fixed16,0.0907,0.0012,0.0097,0.0003,0.0001,0.0032,0.695,0.0072,0.1294,0.0021,0.0037,0.0572,0.0001,0.0001,61,1
000015342.fixed139,0.5155,0.0025,0.0147,0.0006,0.001,0.0009,0.3177,0.0045,0.0062,0.0029,0.004,0.1289,0.0001,0.0005,24,0
000015447.fixed11,0.3703,0.0038,0.0009,0.0,0.0003,0.0016,0.6136,0.0004,0.0,0.0001,0.0055,0.0031,0.0004,0.0,63,1
000015186.fixed1020,0.3974,0.0011,0.008,0.0002,0.0,0.0065,0.5297,0.0012,0.0,0.0072,0.0035,0.0451,0.0,0.0001,26,1
